#TRAJECTORY 0
#TIME[TAU]   EPOT[EPS]   ETOT[EPS]     RG[A]      L[A]   RMSD[A]   W[A**2]
     0.005     1715.83     3281.47   390.091   756.097         0     19741
    100.01     1847.69      3396.9   391.605   775.599         0   20002.3
   200.015     1820.44     3373.73   390.931   754.916         0   20075.6
    300.02     1850.88     3435.78   390.893   756.504         0   20177.2
   400.025      1815.3     3359.93   391.704   757.847         0   20022.4
    500.03     1826.02     3392.07   391.616   778.697         0   19885.9
   600.035     1845.83     3422.11   390.697   766.306         0   19658.9
    700.04     1816.23     3391.91   391.467   795.045         0   19848.1
   800.045     1850.53     3444.78    391.24   789.226         0     19664
    900.05     1811.95      3396.1    389.71   803.509         0   19128.3
   1000.05     1811.49     3420.89   386.293   795.352         0   18543.6
   1100.06      1843.8     3428.64   376.119   766.851         0   17872.2
   1200.06     1842.82     3427.18   372.606   753.983         0     18102
   1300.06     1810.78        3343   371.105   749.108         0   18127.9
   1400.06     1787.46     3408.71   369.263   731.489         0   18034.4
   1500.06      1848.4     3402.83   368.523   698.925         0   17899.8
   1600.06     1843.55     3395.45   368.328   703.846         0   17794.8
   1700.06     1813.59     3421.19   367.911    679.02         0   17638.4
   1800.06     1786.88     3393.96   367.725   693.317         0   17587.1
